initial_payment,car,price,months_term,miles_per_annum
£846.00 ex VAT,Fiat 500 Hatchback 1.2 Pop 3dr [2018],£94.00,48,"5,000"
£874.08 ex VAT,Volkswagen Up Hatchback 1.0 Move Up 5dr [Start Stop] [2018],£97.12,48,"5,000"
£899.91 ex VAT,Kia Picanto Hatchback 1.0 1 5dr [2018],£99.99,48,"5,000"
£899.91 ex VAT,Vauxhall Adam Hatchback 1.2i Energised 3dr [2018.5],£99.99,48,"5,000"
£899.91 ex VAT,Volkswagen Up Hatchback 1.0 Move Up 5dr [2018],£99.99,48,"5,000"
£926.91 ex VAT,Fiat 500 Hatchback 1.2 Lounge 3dr [2018],£102.99,48,"5,000"
£944.91 ex VAT,Kia Picanto Hatchback 1.0 2 5dr [2018],£104.99,48,"5,000"
£944.91 ex VAT,Toyota Aygo Hatchback 1.0 VVT-i X 3dr [2017],£104.99,48,"5,000"
£944.91 ex VAT,Toyota Aygo Hatchback 1.0 VVT-i X 5dr [2017],£104.99,48,"5,000"
£944.91 ex VAT,Citroen C1 Hatchback 1.2 PureTech Flair 5dr ,£104.99,48,"8,000"
£962.91 ex VAT,Suzuki Swift Hatchback 1.0 Boosterjet SZ-T 5dr [2017],£106.99,48,"5,000"
£962.91 ex VAT,Fiat 500 Hatchback 1.2 S 3dr [2016],£106.99,48,"8,000"
£989.91 ex VAT,Honda Jazz Hatchback 1.3 i-VTEC SE 5dr [2018],£109.99,24,"5,000"
£989.91 ex VAT,Fiat 500 Hatchback 1.2 S 3dr Dualogic [2018],£109.99,48,"5,000"
£989.91 ex VAT,Kia Picanto Hatchback 1.0 GT-line 5dr [2018],£109.99,48,"5,000"
£989.91 ex VAT,Peugeot 108 Hatchback 1.0 72 Access 3dr [2018.5],£109.99,48,"5,000"
£989.91 ex VAT,Peugeot 108 Hatchback 1.0 72 Active 3dr [2018.5],£109.99,48,"5,000"
£998.91 ex VAT,Fiat 500 Hatchback 1.2 Lounge 3dr Dualogic [2018],£110.99,48,"5,000"
£998.91 ex VAT,Smart Forfour Hatchback Hatchback 1.0 Pure 5dr [2018],£110.99,48,"5,000"
"£1,000.62 ex VAT",Mazda 2 Hatchback 1.5 75 SE-L+ 5dr [2018],£111.18,48,"5,000"
"£1,007.91 ex VAT",Vauxhall Astra Hatchback 1.6T 16V 200 Elite Nav 5dr [2018.5],£111.99,24,"5,000"
"£1,007.91 ex VAT",Fiat 500 Hatchback 1.2 Collezione 3dr [2018],£111.99,48,"8,000"
"£1,007.91 ex VAT",Kia Picanto Hatchback 1.25 2 5dr [2018],£111.99,48,"8,000"
"£1,013.76 ex VAT",Skoda Citigo Hatchback 1.0 MPI GreenTech SE 3dr [2018],£112.64,48,"8,000"
"£1,027.89 ex VAT",Skoda Citigo Hatchback 1.0 MPI GreenTech SE 5dr [2018],£114.21,48,"8,000"
"£1,034.91 ex VAT",Toyota Aygo Hatchback 1.0 VVT-i X-Play 5dr [2017],£114.99,48,"5,000"
"£1,036.71 ex VAT",Skoda Citigo Hatchback 1.0 MPI GreenTech SE L 3dr [2018],£115.19,48,"8,000"
"£1,043.91 ex VAT",Hyundai I10 Hatchback 1.0 S 5dr [2017],£115.99,48,"5,000"
"£1,043.91 ex VAT",Kia Picanto Hatchback 1.25 2 5dr Auto [2018],£115.99,48,"5,000"
"£1,043.91 ex VAT",Citroen C3 Hatchback 1.2 PureTech 82 Flair 5dr [2018],£115.99,48,"8,000"
"£1,046.34 ex VAT",Skoda Fabia Hatchback 1.0 MPI S 5dr [2018],£116.26,48,"8,000"
"£1,052.91 ex VAT",Kia Venga Hatchback 1.4 ISG 1 5dr [2015],£116.99,48,"5,000"
"£1,061.91 ex VAT",Hyundai I10 Hatchback 1.0 SE 5dr [2017],£117.99,48,"5,000"
"£1,070.91 ex VAT",Kia Picanto Hatchback 1.25 GT-line 5dr [2018],£118.99,48,"5,000"
"£1,079.91 ex VAT",Kia Rio Hatchback 1.25 1 5dr [2017],£119.99,48,"5,000"
"£1,079.91 ex VAT",Vauxhall Corsa Hatchback 1.4 SRi Nav 3dr [2018.75],£119.99,48,"8,000"
"£1,079.91 ex VAT",Smart Fortwo Coupe City 1.0 Passion 2dr [2018],£119.99,48,"10,000"
"£1,087.11 ex VAT",Skoda Citigo Hatchback 1.0 MPI GreenTech SE L 5dr [2018],£120.79,48,"8,000"
"£1,088.91 ex VAT",Toyota Aygo Hatchback 1.0 VVT-i X-Play 5dr x-shift [2017],£120.99,48,"5,000"
"£1,088.91 ex VAT",Volkswagen Up Hatchback 1.0 Up Beats 5dr [2018],£120.99,48,"5,000"
"£1,097.91 ex VAT",Kia Soul Hatchback 1.6 GDi 1 5dr [2017],£121.99,48,"5,000"
"£1,097.91 ex VAT",Smart Fortwo Coupe City 1.0 Prime 2dr [2018],£121.99,48,"5,000"
"£1,097.91 ex VAT",Citroen C4 Cactus Hatchback 1.2 PureTech [82] Feel Edition 5dr [2018],£121.99,48,"8,000"
"£1,106.91 ex VAT",Kia Venga Hatchback 1.4 ISG 1 Air 5dr [2015],£122.99,48,"5,000"
"£1,115.91 ex VAT",Fiat Panda Hatchback 1.2 Lounge 5dr [2018],£123.99,48,"5,000"
"£1,115.91 ex VAT",Hyundai I10 Hatchback 1.2 SE 5dr [2017],£123.99,48,"5,000"
"£1,116.36 ex VAT",Skoda Octavia Hatchback 1.0 TSI SE Technology 5dr [2018],£124.04,24,"8,000"
"£1,124.91 ex VAT",Fiat 500 Convertible 1.2 Pop 2dr [2018],£124.99,48,"5,000"
"£1,124.91 ex VAT",Toyota Aygo Hatchback 1.0 VVT-i X-Press 5dr [2017],£124.99,48,"5,000"
"£1,124.91 ex VAT",Vauxhall Corsa Hatchback 1.4 [75] SRi Nav 5dr [2018.75],£124.99,48,"8,000"
"£1,139.40 ex VAT",Vauxhall Mokka X Hatchback 1.4T ecoTEC Design Nav 5dr [2018.5],£126.60,36,"5,000"
"£1,141.56 ex VAT",Skoda Fabia Estate 1.0 MPI S 5dr [2017],£126.84,48,"8,000"
"£1,142.91 ex VAT",Hyundai I10 Hatchback 1.0 Premium 5dr [2017],£126.99,48,"5,000"
"£1,142.91 ex VAT",Kia Picanto Hatchback 1.25 3 5dr Auto [2018],£126.99,48,"5,000"
"£1,142.91 ex VAT",Vauxhall Corsa Hatchback 1.4 SRi Nav 5dr [2018.75],£126.99,48,"8,000"
"£1,151.91 ex VAT",Volkswagen Polo Hatchback 1.0 75 SE 5dr [2018.5],£127.99,36,"5,000"
"£1,160.91 ex VAT",Ford Fiesta Hatchback 1.0 EcoBoost Zetec Navigation 5dr [2018.75],£128.99,48,"5,000"
"£1,160.91 ex VAT",Honda Jazz Hatchback 1.3 i-VTEC SE 5dr CVT [2018],£128.99,48,"5,000"
"£1,163.97 ex VAT",Skoda Citigo Hatchback 1.0 MPI Colour Edition 3dr [2018],£129.33,48,"8,000"
"£1,169.91 ex VAT",Seat Ibiza Hatchback 1.0 SE 5dr [2018],£129.99,48,"5,000"
"£1,169.91 ex VAT",Fiat 500 Convertible 1.2 Pop Star 2dr [2018],£129.99,48,"5,000"
"£1,169.91 ex VAT",Citroen C3 Aircross Hatchback 1.2 PureTech Feel 5dr [2017],£129.99,48,"8,000"
"£1,169.91 ex VAT",Smart Fortwo Coupe City 1.0 Passion 2dr Auto [2018],£129.99,48,"10,000"
"£1,178.91 ex VAT",Kia Picanto Hatchback 1.25 GT-line S 5dr [2018],£130.99,48,"5,000"
"£1,178.91 ex VAT",Toyota Aygo Hatchback 1.0 VVT-i X-Press 5dr x-shift [2017],£130.99,48,"5,000"
"£1,178.91 ex VAT",Toyota Yaris Hatchback 1.0 VVT-i Active 5dr [2018.5],£130.99,48,"5,000"
"£1,184.49 ex VAT",Mazda 2 Hatchback 1.5 115 GT Sport Nav+ 5dr [2018],£131.61,48,"5,000"
"£1,186.11 ex VAT",Skoda Octavia Hatchback 1.0 TSI SE Technology 5dr DSG [2018],£131.79,24,"8,000"
"£1,187.91 ex VAT",Nissan Juke Hatchback 1.2 DiG-T Bose Personal Edition 5dr [2018],£131.99,48,"5,000"
